央视频道,#genre#
黑龙江卫视,http://123.112.215.196:4022/rtp/239.3.1.133:8016
黑龙江卫视,http://223.12.205.249:8083/udp/239.1.1.37:8037
黑龙江卫视,http://27.11.40.250:8004/udp/225.0.4.201:7980
黑龙江卫视,http://114.250.93.106:8686/rtp/239.3.1.133:8016
黑龙江卫视,http://118.112.60.52:55555/udp/239.93.0.183:5140
吉林卫视,http://114.250.93.106:8686/rtp/239.3.1.240:8172
吉林卫视,http://118.112.60.52:55555/udp/239.93.0.248:5140
吉林卫视,http://223.12.205.249:8083/udp/239.1.1.30:8030
吉林卫视,http://123.112.215.196:4022/rtp/239.3.1.240:8172
吉林卫视,http://117.28.113.146:8888/rtp/239.61.2.223:9326
港澳频道,#genre#
凤凰中文,http://61.157.33.5:8888/udp/239.93.0.162:2192
凤凰中文,http://125.114.166.14:8888/rtp/233.50.200.191:5140
凤凰中文,http://118.112.60.52:55555/udp/239.93.0.162:2192
凤凰中文,http://118.116.122.157:8686/udp/239.93.0.162:2192
凤凰资讯,http://118.112.60.52:55555/udp/239.93.0.118:2191
凤凰资讯,http://125.71.58.153:4022/udp/239.93.0.118:2191
凤凰资讯,http://61.157.33.5:8888/udp/239.93.0.118:2191
凤凰资讯,http://118.116.122.157:8686/udp/239.93.0.118:2191
数字频道,#genre#
都市剧场,http://118.112.60.52:55555/udp/239.93.42.30:5140
都市剧场,http://125.114.166.14:8888/rtp/233.50.201.190:5140
都市剧场,http://117.28.113.146:8888/rtp/239.61.2.149:8882
都市剧场,http://223.12.205.249:8083/udp/239.1.1.81:8081
都市剧场,http://118.116.122.157:8686/udp/239.93.42.30:5140
欢笑剧场,http://101.93.223.139:8888/udp/239.45.3.196:5140
欢笑剧场,http://1.83.124.121:8888/rtp/239.112.205.236:5140
欢笑剧场,http://61.185.200.33:55555/rtp/239.112.205.236:5140
欢笑剧场,http://113.138.132.29:8001/rtp/239.112.205.236:5140
欢笑剧场,http://117.28.113.146:8888/rtp/239.61.2.146:8864
